Number of vertexes, Number of edges, Time 
100,5000,0.026
150,11250,0.053
200,20000,0.153
250,31250,0.211
300,45000,0.211
350,61250,0.292
400,80000,0.406
450,101250,0.554
500,125000,0.763
550,151250,0.797
600,180000,0.944
650,211250,1.101
700,245000,1.335
750,281250,1.505
800,320000,1.744
850,361250,2.084
900,405000,2.411
950,451250,2.647
1000,500000,3.234
1050,551250,3.455
1100,605000,3.666
1150,661250,3.995
1200,720000,4.772
1250,781250,4.925
1300,845000,5.416
1350,911250,5.755
1400,980000,6.262
1450,1051250,6.995
1500,1125000,7.175
1550,1201250,7.834
